title,author
All Heads Turn When The Hunt Goes By,John Farris
In A Lonely Place,Karl Edward Wagner
The Everlasting Man,G. K. Chesterton
Day Of The Owl,Leonardo Sciascia
The Theater and Its Double,Antonin Artaud
The Ceremonies,T. E. D. Klein
A Swiftly Tilting Planet,Madeleine L'Engle
Montaillou,Emmanuel Le Roy Ladurie
Selected Poems,Pierre Ronsard
Laura,Vera Caspary
Black Easter,James Blish
Devil's Cub,Georgette Heyer
The Thin Red Line,James Jones
Priestdaddy,Patricia Lockwood
Borges,Adolfo Bioy Casares
The Amber Witch,Wilhelm Meinhold
The Works of Max Beerbohm,Max Beerbohm
The Nero Wolfe Series,Rex Stout
Lad,Albert Payson Terhune
Cities of the Red Night,William S. Burroughs
Goosebumps,R. L. Stine
The Big Blowdown,George P. Pelecanos
"The Universal Baseball Association, Inc., J. Henry Waugh, Prop.",Robert Coover
The Golden Compass,Philip Pullman
The Great Bridge,David McCullough
The Use Of Man,Aleksandar Tišma
Lost Children Archive,Valeria Luiselli
Mary Chesnut's Civil War,Mary Boykin Chesnut
The Life of Andrew Jackson,Marquis James
"Poems, 1913 1956",Bertolt Brecht
Rhinoceros and Other Plays,Eugène Ionesco
Poems of Friedrich Hölderlin,Friedrich Holderlin
The House Next Door,Anne Rivers Siddons
Daughters of Fire,Gerard de Nerval
Dictionary of the Khazars,Milorad Pavic
Bid Time Return,Richard Matheson
The Nine Guardians,Rosario Castellanos
Uit Hoofts Lyriek,P. C. Hooft
Candida,George Bernard Shaw
The Green Child,Herbert Read
The Little White Horse,Elizabeth Goudge
"Looking Backward, 2000 1887",Edward Bellamy
Look At Me,Anita Brookner
Falling Angel,William Hjortsberg
The Summer Tree,Guy Gavriel Kay
On Wings Of Song,Thomas M. Disch
Shadow Over Mars,Leigh Brackett
Swallows and Amazons,Arthur Ransome
Neverwhere,Neil Gaiman
Die Reise,Bernward Vesper
Daisy Miller,Henry James
Dhalgren,Samuel R. Delany
May,Herman Gorter
Martian Time Slip,Philip K. Dick
Brown Girl Dreaming,Jacqueline Woodson
The Shock Doctrine,Naomi Klein
Small Island,Andrea Levy
Tragedy At Law,Cyril Hare
Murgunstrumm And Others,Hugh B. Cave
"Sweetheart, Sweetheart",Bernard Taylor
Millennium Trilogy,Stieg Larsson
Faces In The Water,Janet Frame
Memoirs of a Peasant Boy,Xosé Neira Vilas
The History Of Miss Sara Burgerhart,Betje Wolff
Into the Wild,Jon Krakauer
Mystery and Manners,Flannery O'Connor
Bring Up the Bodies,Hilary Mantel
Postmortem,Patricia Daniels Cornwell
The Inquisitors' Manual,António Lobo Antunes
A Grain Of Wheat,Ngũgĩ wa Thiong’o
Childhood,Tove Ditlevsen
Youth,Tove Ditlevsen
Alone With The Horrors,Ramsey Campbell
Behind the Scenes at the Museum,Kate Atkinson
Glory Road,Robert A. Heinlein
The Black Jacobins,C. L. R. James
Married Life,David Vogel
Ideas Have Consequences,Richard M. Weaver
The Would-Be Gentleman,Molière
The Complete Writings of Alfred de Musset,Alfred de Musset
Heavy Wings,Jie Zhang
The First Man,Albert Camus
Just Mercy,Bryan Stevenson
Galileo,Bertolt Brecht
The Bookseller of Kabul,Asne Seierstad
Legends of The Fall,Jim Harrison
The Day Lasts More Than A Hundred Years,Chinghiz Aitmatov
Les Destinées,Alfred de Vigny
The Magic Faraway Tree,Enid Blyton
A Lover's Discourse,Roland Barthes
Time of Silence,Luis Martín-Santos
The Third Wedding,Kōstas Tachtsēs
Song Of Kali,Dan Simmons
Paris Trout,Pete Dexter
Charming Billy,Alice McDermott
Les Caractères,Jean de La Bruyère
The Damnation Game,Clive Barker
A Throw Of The Dice Will Never Abolish Chance,Stéphane Mallarmé
Winter's Bone,Daniel Woodrell
The Great Victorian Collection,Brian Moore
The Blue Lotus,Hergé
Selected Poems,Andrew Marvell
Redgauntlet,Sir Walter Scott
The Quest For Corvo,A. J. A. Symons
Eothen,Alexander William Kinglake
Fifty Shades of Grey:,E. L. James
The Claw Of The Conciliator,Gene Wolfe
The Life Of Marianne,Pierre Carlet de Chamblain de Marivaux
Sidetracked,Henning Mankell
Rosencrantz & Guildenstern Are Dead,Tom Stoppard
Room,Emma Donoghue
The Gruffalo,Julia Donaldson
The Fortress of Solitude,Jonathan Lethem
Eating Animals,Jonathan Safran Foer
Porterhouse Blue,Tom Sharpe
Correspondence,Voltaire
"A Small, Good Thing",Raymond Carver
The Campaign of the Marne,Sewell Tyng
Septology,Jon Fosse
The Lost Salt Gift Of Blood,Alistair MacLeod
Philosophical Writings,Novalis
Adventures On The Wine Route,Kermit Lynch
Green For Danger,Christianna Brand
Dark Night of the Soul,St. John of the Cross
Party Going,Henry Green
The Journalist and the Murderer,Janet Malcolm
Goat Song,Konstantin Vaginov
The Queen's Tiara,Carl Jonas Love Almqvist
Areopagitica,John Milton
The Romance of the Rose,Guillaume (de Lorris)
The Twilight of the Idols and The Antichrist,Friedrich Nietzsche
The Return and Other Stories,Andrey Platonov
Letters from an American Farmer,J. Crevecoeur
Homo Ludens,Johan Huizinga
"And where Were You, Adam?",Heinrich Böll
The Collected Songs of Cold Mountain,Han Shan
"The Tootinameh; Or, Tales of a Parrot",India
Confessions of an English Opium-Eater,Thomas de Quincey
"Hydriotaphia, Urn Burial",Sir Thomas Browne
Memoirs Of A Revolutionist,Vera Figner
Trans-Atlantyk,Witold Gombrowicz
"Oh, These Times",Catherine the Great
White Shroud,Antanas Škėma
The White Ship,Chinghiz Aitmatov
Days In The Caucasus,Banine
Childe Harold Of Dysna,Moyshe Kulbak
On Sunday Morning She Gathered Herbs,Olha Kobylianska
Notes From The Blockade,Lydia Ginzburg
The Temptation To Exist,Emil Cioran
The Memoirs Of Princess Dashkova,Ekaterina Romanovna Dashkova
The Wolfen,Whitley Strieber
The Knights,Aristophanes
Religio Medici,Sir Thomas Browne
The Works Of John Dryden,John Dryden
The Rivals,Richard Brinsley Sheridan
Pack My Bag,Henry Green
Blasting And Bombardiering,Wyndham Lewis
Van Loon's Lives,Hendrik Willem van Loon
Being Geniuses Together,Robert McAlmon
The Endless Adventure,F. S. Oliver
Mr. Fortune's Maggot,Sylvia Townsend Warner
Sex And Character,Otto Weininger
The Devil's Dictionary,Ambrose Bierce
How To Stop Worrying And Start Living,Dale Carnegie
Dialogues of the Courtesans,Lucian of Samosata
Little Lord Fauntleroy,Frances Hodgson Burnett
Maigret And The Old Lady,Georges Simenon
And Never Said A Word,Heinrich Böll
Lieutenant Gustl,Arthur Schnitzler
"Henry, King Of France",Heinrich Mann
"Little Man, What Now?",Hans Fallada
A Child of Our Time,Ödön von Horváth
The Rider on the White Horse,Theodor Storm
The Gods Will Have Blood,Anatole France
The School Of Whoredom,Pietro Aretino
Des Knaben Wunderhorn,Clemens Brentano
The Life Divine,Sri Aurobindo
The Invisible Flag,Peter Bamm
Bicycle Thieves,Luigi Bartolini
The Jazz Book,Joachim-Ernst Berendt
Der Großtyrann Und Das Gericht,Werner Bergengruen
Laughter,Henri Bergson
Physica,Hildegard of Bingen
Maya The Bee And Her Adventures,Waldemar Bonsels
Till Eulenspiegel,Hermann Bote
The Ship Of Fools,Sebastian Brant
Theodor Chindler,Bernard von Brentano
"Cause, Principle, And Unity",Giordano Bruno
New Testament And Mythology,Rudolf Bultmann
The Adventures Of Baron Munchausen,Gottfried Burger
Childe Harold's Pilgrimage,Lord Byron
Carmina Burana,Unknown
The Tomb Of Tutankhamun,Howard Carter
The Philosophy Of Symbolic Forms,Ernst Cassirer
"Gods, Graves, And Scholars",C. W. Ceram
Erec And Enide,Chrétien de Troyes
Sämtliche Werke Des Wandsbecker Boten,Matthias Claudius
The Leatherstocking Tales,James Fenimore Cooper
The Legend Of Thyl Ulenspiegel And Lamme Goedzak,Charles de Coster
The Tunnel,Friedrich Dürrenmatt
Krambambuli,Marie von Ebner-Eschenbach
The Book Of Divine Consolation,Meister Eckhart
The Thaw,Ilya Ehrenburg
Who Once Eats Out Of The Tin Bowl,Hans Fallada
Jew Süss,Lion Feuchtwanger
Exile,Lion Feuchtwanger
Schach Von Wuthenow,Theodor Fontane
A Cultural History Of The Modern Age,Egon Friedell
Helmbrecht,Wernher der Gartenaere
Der Siebente Ring,Stefan George
The River Pirates Of The Mississippi,Friedrich Gerstäcker
The Burnt Offering,Albrecht Goes
Theory Of Colours,Johann Wolfgang von Goethe
Uli The Farmhand,Jeremias Gotthelf
Bolwieser,Oskar Maria Graf
Leviathan,Julien Green
The Poor Musician,Franz Grillparzer
Deutsches Wörterbuch,Brothers Grimm
Architecture,Walter Gropius
Poor Henry,Hartmann von Aue
Märchenalmanach Auf Das Jahr 1828,Wilhelm Hauff
Book Of Songs,Heinrich Heine
Der Gaulschreck Im Rosennetz,Fritz von Herzmanovsky-Orlando
The Crusaders,Stefan Heym
Die Homosexualität Des Mannes Und Des Weibes,Magnus Hirschfeld
The Golden Pot,E. T. A. Hoffmann
The Art Of Prolonging Life,Christoph Wilhelm Hufeland
Fluss Ohne Ufer,Hans Henny Jahnn
On The Marble Cliffs,Ernst Jünger
The Future Has Already Begun,Robert Jungk
The City Beyond The River,Hermann Kasack
Fabian,Erich Kästner
The People Of Seldwyla,Gottfried Keller
The Bible As History,Werner Keller
New Astronomy,Johannes Kepler
The Seeress Of Prevorst,Justinus Kerner
The Century Of The Child,Ellen Key
The Raging Reporter,Egon Erwin Kisch
The Marquise Of O,Heinrich von Kleist
The Language Of The Third Reich,Victor Klemperer
The Logbook Of Christopher Columbus,Christopher Columbus
From Caligari To Hitler,Siegfried Kracauer
Das Unauslöschliche Siegel,Elisabeth Langgässer
The Veil Of Veronica,Gertrud von le Fort
Unkempt Thoughts,Stanislaw Jerzy Lec
So Tender Was Suleyken,Siegfried Lenz
Child Of The Revolution,Wolfgang Leonhard
L'après Midi D'un Faune,Stéphane Mallarmé
The Second Wife,E. Marlitt
Jürg Jenatsch,Conrad Ferdinand Meyer
Gallows Songs,Christian Morgenstern
Scenes Of Bohemian Life,Henri Murger
The Prophecies,Nostradamus
The Four Books On Architecture,Andrea Palladio
By Night Under The Stone Bridge,Leo Perutz
An Outline Of European Architecture,Nikolaus Pevsner
The Origins Of Intelligence In Children,Jean Piaget
Stalingrad,Theodor Plievier
Stopfkuchen,Wilhelm Karl Raabe
Visite D'un Poète,Charles Ferdinand Ramuz
The Sexual Revolution,Wilhelm Reich
Kuttel Daddeldu,Joachim Ringelnatz
Mitte Des Lebens,Luise Rinser
The Seven Lamps Of Architecture,John Ruskin
The Questionnaire,Ernst von Salomon
The Story Of My Life,George Sand
The Roads To Freedom,Jean Paul Sartre
Nuremberg Chronicle,Hartmann Schedel
The Papalagi,Erich Scheurmann
The Criminal Of Lost Honor,Friedrich Schiller
Report On The Excavations At Troy,Heinrich Schliemann
Die Insel Felsenburg,Johann Gottfried Schnabel
The Road Into The Open,Arthur Schnitzler
Out Of My Life And Thought,Albert Schweitzer
Art In Crisis,Hans Sedlmayr
A Stroll To Syracuse In The Year 1802,Johann Gottfried Seume
Der Moderne Kapitalismus,Werner Sombart
Die Feuerzangenbowle,Heinrich Spoerl
How I Found Livingstone,Henry M. Stanley
An Outline Of Occult Science,Rudolf Steiner
Lay Down Your Arms!,Bertha von Suttner
The Island Of Second Sight,Albert Vigoleis Thelen
Lausbubengeschichten,Ludwig Thoma
Franz Sternbald's Wanderings,Ludwig Tieck
Mist,Miguel de Unamuno
Cavalleria Rusticana,Giovanni Verga
The Large Testament And The Small Testament,François Villon
"Rinaldo Rinaldini, The Robber Captain",Christian August Vulpius
The Ringer,Edgar Wallace
The Assistant,Robert Walser
Caspar Hauser Or The Inertia Of The Heart,Jakob Wassermann
Ich Suchte Adam,Herbert Wendt
The Embezzled Heaven,Franz Werfel
The History Of The Abderites,Christoph Martin Wieland
History Of The Art Of Antiquity,Johann Joachim Winckelmann
Les Rougon Macquart,Émile Zola
Brockhaus Enzyklopädie,Unknown
Duden. Die Deutsche Rechtschreibung,Unknown
The Man Outside,Wolfgang Borchert
Everyman,Hugo von Hofmannsthal
Gedichte,Walther von der Vogelweide
The Captain Of Köpenick,Carl Zuckmayer
Friday,Michel Tournier
Democracy and Leadership,Irving Babbitt
Night's Black Agents,Fritz Leiber
The King Of Elfland's Daughter,Lord Dunsany
Inside Mr. Enderby,Anthony Burgess
Manon des sources,Marcel Pagnol
The Ponder Heart,Eudora Welty
Soft Soap,Willem Elsschot
The Miser,Molière
The Diary Of Anne Frank,Anne Frank
The Hate U Give,Angie Thomas
Reflections of a Russian Statesman,Konstantin P. Pobedonostsev
The Luminaries,Eleanor Catton
A Pale View of Hills,Kazuo Ishiguro
The Broken Earth Trilogy,N. K. Jemisin
Renascence and Other Poems,Edna St. Vincent Millay
The Portable Faulkner,William Faulkner
The Life of the Bee,Maurice Maeterlinck
The Battle with the Slum,Jacob A. Riis
The House on Henry Street,Lillian D. Wald
The Autobiography of Lincoln Steffens,Lincoln Steffens
Charter of the United Nations,United Nations
Why I Am Not a Christian,Bertrand Russell
Woman Suffrage and Politics,Carrie Chapman Catt
Armenian Atrocities,Arnold J. Toynbee
War Poems of Siegfried Sassoon,Siegfried Sassoon
"Etiquette in Society, in Business, in Politics and at Home",Emily Post
The Meeting At Telgte,Günter Grass
Nederlandsche Historien,P. C. Hooft
Scrutiny,F. R. Leavis
The Beach,Alex Garland
The Commitments,Roddy Doyle
Weaveworld,Clive Barker
Bureaucracy,Ludwig von Mises
The Thurber Carnival,James Thurber
Balzac,Stefan Zweig
The Good Society,Walter Lippmann
Strange Defeat,Marc Bloch
Looking Back,Norman Douglas
Poetry and the Age,Randall Jarrell
The Belkin Tales,Alexander Pushkin
Love in the Western World,Denis de Rougemont
The Dragon And The George,Gordon R. Dickson
I And My Chimney,Herman Melville
Life Of Quintus Fixlein,Jean-Paul Richter
My Friend Flicka,Mary O'Hara
Really The Blues,Bernard Wolfe
The Happy Island,Dawn Powell
The Autobiography Of A Yogi,Paramahansa Yogananda
Mannen utan väg,Erik Lindegren
The Obsolescence Of Man,Günther Anders
Invocation Of The Great Bear,Ingeborg Bachmann
Повесть о жизни,Konstantin Paustovsky
The Doctor Of Stalingrad,Heinz G. Konsalik
Endless Love,Scott Spencer
Gloriana,Michael Moorcock
The Stories of Ray Bradbury,Ray Bradbury
Country Of Origin,E. du Perron
My City,Xi Xi
The Stone Raft,José Saramago
Home Land,Sam Lipsyte
The Better Angels Of Our Nature,Steven Pinker
Wittgenstein's Mistress,David Markson
Bint,F. Bordewijk
The Leg,Willem Elsschot
American Born Chinese,Gene Luen Yang
Death Of A Red Heroine,Qiu Xiaolong
Written on the Body,Jeanette Winterson
Troubling Love,Elena Ferrante
Wise Children,Angela Carter
The Day After Judgement,James Blish
The Changelings,Jo Sinclair
Little Johannes,Frederik van Eeden
11 22 63,Stephen King
Frederick Douglass,David W. Blight
Where Are The Children?,Mary Higgins Clark
Insight,Bernard Lonergan
The Name Of The Wind,Patrick Rothfuss
The Silent World,Jacques Cousteau
Spoon River Anthology,Edgar Lee Masters
Bacacay,Witold Gombrowicz
Enduring Love,Ian McEwan
The Long Loneliness,Dorothy Day
This Side of Paradise,F. Scott Fitzgerald
Monkey Grip,Helen Garner
Growing Up,Russell Baker
Sansibar Or The Last Reason,Alfred Andersch
Die Skeptische Generation,Helmut Schelsky
The Alienist,Caleb Carr
The Age of Reason,Thomas Paine
Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson
The Totem,David Morrell
Subconscious Opens Like A Fan,Yona Wallach
Kees The Boy,Theo Thijssen
The 42nd Parallel,John Dos Passos
The River Between,Ngũgĩ wa Thiong’o
"Garden, Ashes",Danilo Kiš
Things,Georges Perec
Woe From Wit,Alexander Griboyedov
Once Were Warriors,Alan Duff
Walden Two,B. F. Skinner
Mother London,Michael Moorcock
Lunar Park,Bret Easton Ellis
Metzger's Dog,Thomas Perry
Mercy Of A Rude Stream,Henry Roth
Dragonflight,Anne McCaffrey
Illywhacker,Peter Carey
Veronika Decides to Die,Paulo Coelho
The Moon is a Harsh Mistress,Robert A. Heinlein
The Housekeeper And The Professor,Yōko Ogawa
The Eyes Of The Overworld,Jack Vance
Aline,Charles Ferdinand Ramuz
Beauty On Earth,Charles Ferdinand Ramuz
Oriental Tales,Marguerite Yourcenar
The Planetarium,Nathalie Sarraute
The Meaning of Hitler,Sebastian Haffner
Groot Lied Boeck,G. A. Bredero
Terug Tot Ina Damman,Simon Vestdijk
Runaway Horse,Martin Walser
Two Sought Adventure,Fritz Leiber
Holy Week,Louis Aragon
Day Of The Minotaur,Thomas Burnett Swann
The Transcendent Unity Of Religions,Frithjof Schuon
We're Going on a Bear Hunt,Michael Rosen
"In Search Of Lost Time, Volume 1",Marcel Proust
JR,William Gaddis
The Glass Menagerie,Tennessee Williams
The Wind on the Moon,Eric Linklater
Critique Of Cynical Reason,Peter Sloterdijk
Med Ana Schwoazzn Dintn,Hans Carl Artmann
Homo Sociologicus,Ralf Dahrendorf
Unless,Carol Shields
The Tiger In The Smoke,Margery Allingham
Salt On Our Skin,Benoîte Groult
The History Of A Town,Mikhail Saltykov-Shchedrin
The Sacred Night,Tahar Ben Jelloun
The Complete Poems of Marianne Moore,Marianne Moore
The Bee Sting,Paul Murray
Cross Creek,Marjorie Kinnan Rawlings
The Grey King,Susan Cooper
The Essential Kafka,Franz Kafka
The Coldest Winter Ever,Sister Souljah
The Presentation Of Self In Everyday Life,Erving Goffman
The Vice-Consul,Marguerite Duras
Strophic Poems,Hadewijch
Abele Spelen,Unknown
A Posthumous Confession,Marcellus Emants
Great Plains,Ian Frazier
Nine Princes In Amber,Roger Zelazny
Magic for Beginners,Kelly Link
Collected Stories,Raymond Chandler
All The World's Mornings,Pascal Quignard
Landscapes With Absent Figures,Philippe Jacottet
The Blank Slate,Steven Pinker
Fire And Sleet And Candlelight,August Derleth
Of Love and Shadows,Isabel Allende
Doña Bárbara,Rómulo Gallegos
Three Strong Women,Marie NDiaye
The Woman In Black,Susan Hill
Kudos,Rachel Cusk
Η κάθοδος των εννιά,Thanassis Valtinos
Συναξάρι Αντρέα Κορδοπάτη,Thanassis Valtinos
Το φως που καίει,Kostas Varnalis
"The Plant, The Well, The Angel",Vassilis Vassilikos
Land Of Aeolia,Elias Venezis
Modern Greek Stories,Georgios Vizyinos
My Mother's Sin,Georgios Vizyinos
The Only Journey Of His Life,Georgios Vizyinos
Amorgos,Nikos Gatsos
Η κρύπτη,Ε.Χ. Γονατάς
A Prisoner Of War’s Story,Stratis Doukas
Μπολιβαρ,Nikos Engonopoulos
The Axion Esti,Odysseas Elytis
Ενδοχωρα,Andreas Embiricos
Υψικαμινος,Andreas Embiricos
Η Τιμη Και Το Χρημα,Konstantinos Theotokis
Freedom Or Death,Nikos Kazantzakis
Odes,Andreas Kalvos
Η Αυλή των Θαυμάτων,Iakovos Kambanellis
The Great Chimera,M. Karagatsis
Γιούγκερμαν,M. Karagatsis
Ο Συνταγματάρχης Λιάπκιν,M. Karagatsis
The Beggar,Andreas Karkavitsas
Ελεγεία και Σάτιρες,Kostas Karyotakis
Νηπενθή,Kostas Karyotakis
Κατά Σαδδουκαίων,Michalis Katsaros
Ο Εξώστης,Nikos Kakhtitsis
The Memoirs Of General Makriyannis,Makriyannis
Το Πλατύ Ποτάμι,Yiannis Beratis
Life In The Tomb,Stratis Myrivilis
The Schoolmistress With The Golden Eyes,Stratis Myrivilis
The Twelve Lays Of The Gypsy,Kostis Palamas
The Complete Works Of Alexandros Papadiamantis,Alexandros Papadiamantis
Ο Πεθαμένος και η Ανάσταση,Nikos-Gabriel Pentzikis
Eroica,Kosmas Politis
Στου Χατζηφράγκου,Kosmas Politis
Λεμονοδάσος,Kosmas Politis
The Moonlight Sonata,Yannis Ritsos
The Papess Joanne,Emmanuel Rhoides
Ποιήματα Α' και Β',Miltos Sachtouris
Mythistorema,George Seferis
Λυρικός Βίος,Angelos Sikelianos
Το Σόλο του Φίγκαρο,Yiannis Skarimbas
Το Θείο Τραγί,Yiannis Skarimbas
Η Γυναίκα της Ζακύνθου,Dionysios Solomos
The Complete Works,Dionysios Solomos
The Free Besieged,Dionysios Solomos
Farewell Anatolia,Dido Sotiriou
Το Τρίτο Στεφάνι,Kostas Taktsis
Η Χαμένη Άνοιξη,Stratis Tsirkas
The End Of Our Small Town,Dimitris Hatzis
Η Κερένια Κούκλα,Konstantinos Christomanos
The Poems Of Dinos Christianopoulos,Dinos Christianopoulos
Το Ταξίδι Μου,Yiannis Psycharis
Difficult Nights,Melpo Axioti
Ασκητική,Nikos Kazantzakis
She Stoops to Conquer,Oliver Goldsmith
The Woutertje Pieterse Chronicles,Multatuli
Gedichten,J.H. Leopold
Awater,Martinus Nijhoff
Down With Skool!,Geoffrey Willans
Serengeti Shall Not Die,Bernhard Grzimek
The Ice Wall,Yasushi Inoue
Speculations About Jakob,Uwe Johnson
Mit Dem Fahrstuhl In Die Römerzeit,Rudolf Pörtner
Lenin's Tomb,David Remnick
"Henry IV, Part I",William Shakespeare
Gog,Andrew Sinclair
One Hundred Poems,Kenneth Slessor
Phantom Lady,Cornell Woolrich
The Mountain And The Valley,Ernest Buckler
The Power,Naomi Alderman
The Bronze Horseman,Alexander Pushkin
The Return Of The Caravels,António Lobo Antunes
Foster,Claire Keegan
The Obscene Madame D,Hilda Hilst
Diary Of A Madman,Nikolai Gogol
The Arrival,Shaun Tan
Sisterhood Is Powerful,Robin Morgan
The Manor,Isaac Bashevis Singer
No Laughing Matter,Angus Wilson
The Day of the Dolphin,Robert Merle
The Unlimited Dream Company,J. G. Ballard
The Edge of the Sword,Charles De Gaulle
Villa Des Roses,Willem Elsschot
Verzamelde Gedichten,J.J. Slauerhoff
Verzamelde Gedichten,Gerrit Achterberg
Love and Rockets,Gilbert Hernandez
The Cellar,Richard Laymon
Silk,Alessandro Baricco
The Little Tragedies,Alexander Pushkin
Leaving the Atocha Station,Ben Lerner
Ion,Liviu Rebreanu
The Uprising,Liviu Rebreanu
La Medeleni,Ionel Teodoreanu
The Disheveled Maidens,Hortensia Papadat-Bengescu
A Bach Concert,Hortensia Papadat-Bengescu
The Hidden Way,Hortensia Papadat-Bengescu
Întunecare,Cezar Petrescu
Ancuța's Inn,Mihail Sadoveanu
Zodia Cancerului Sau Vremea Ducăi Vodă,Mihail Sadoveanu
The Hatchet,Mihail Sadoveanu
Creanga De Aur,Mihail Sadoveanu
Frații Jderi,Mihail Sadoveanu
Ochi De Urs,Mihail Sadoveanu
Rakes Of The Old Court,Mateiu I. Caragiale
Pagini Bizare,Urmuz
"The Last Night Of Love, The First Night Of War",Camil Petrescu
The Bed Of Procrustes,Camil Petrescu
În Preajma Revoluției,Constantin Stere
Papucii Lui Mahmud,Gala Galaction
Adela,G. Ibrăileanu
Bengal Nights,Mircea Eliade
Proză Fantastică,Mircea Eliade
Rusoaica,Gib I. Mihăescu
Ioana,Anton Holban
Jocurile Daniei,Anton Holban
For Two Thousand Years,Mihail Sebastian
Adventures In Immediate Irreality,M. Blecher
Enigma Otiliei,G. Călinescu
Bietul Ioanide,G. Călinescu
The Thistles Of The Bărăgan,Panaït Istrati
Sfârșit De Veac în București,Ion Marin Sadoveanu
întâlnirea Din Pământuri,Marin Preda
The Morometes,Marin Preda
Toate Pânzele Sus!,Radu Tudoran
Family Jewels,Petru Dumitriu
Cireșarii,Constantin Chiriță
Groapa,Eugen Barbu
Princepele,Eugen Barbu
Iarna Bărbaților,Ștefan Bănulescu
Povestiri,Vasile Voiculescu
În Absența Stăpânilor,Nicolae Breban
Îngerul A Strigat,Fănuș Neagu
Dincolo De Nisipuri,Fănuș Neagu
The Life And Opinions Of Zacharias Lichter,Matei Călinescu
Căderea în Lume,Constantin Țoiu
Solstițiu Tulburat,Paul Georgescu
The School For Scandal,Richard Brinsley Sheridan
Fourth Mansions,R. A. Lafferty
Family Matters,Rohinton Mistry
Los Santos Inocentes,Miguel Delibes
The Flaw,Antonis Samarakis
On Growth and Form,D'Arcy Wentworth Thompson
Четвёртая проза,Osip Mandelstam
Collected Poems,H. P. Lovecraft
Poor Liza,Nikolay Karamzin
Lange Schatten,Marie Luise Kaschnitz
Die Schaukel,Annette Kolb
Wolfskin,Hans Lebert
Summerhill,Alexander Sutherland Neill
Renaissance And Renascences In Western Art,Erwin Panofsky
Leavetaking,Peter Weiss
América Hispánica,Guillermo Céspedes del Castillo
Moominland Midwinter,Tove Jansson
The Old Woman,Daniil Kharms
City of Bohane,Kevin Barry
Why Did I Ever?,Mary Robison
Hekeldichten,Joost van den Vondel
Journals,Meriwether Lewis
The Most Secret Memory Of Men,Mohamed Mbougar Sarr
Half of Man is Woman,Zhang Xianliang
The Great Transformation,Karl Polanyi
Anton Wachter Series,Simon Vestdijk
The Fear Of Freedom,Erich Fromm
Braiding Sweetgrass,Robin Wall Kimmerer
Lord Foul's Bane,Stephen R. Donaldson
Convenience Store Woman,Sayaka Murata
Matei Iliescu,Radu Petrescu
Biserica Neagră,A.E. Baconsky
Ferdinand Huyck,Jacob van Lennep
Ideas,Multatuli
The Good Hope,Herman Heijermans
Het Uur U,Martinus Nijhoff
The Cathedral,Oles Honchar
Fieldwork In Ukrainian Sex,Oksana Zabuzhko
The Plague-Sower,Gesualdo Bufalino
Το Μυθιστόρημα της Κυρίας Έρσης,Nikos-Gabriel Pentzikis
Three plays,Paul Claudel
Moderato Cantabile,Marguerite Duras
Derborence,Charles Ferdinand Ramuz
Vineland,Thomas Pynchon
The Tale Of Cross Eyed Lefty From Tula And The Steel Flea,Nikolai Leskov
Cities of the Plain,Cormac McCarthy
American Genius,Lynne Tillman
Collected Poems,Nils Ferlin
The Death of Woman Wang MMP,Jonathan Spence
Ankunft Im Alltag,Brigitte Reimann
Like A Tear In The Ocean,Manès Sperber
The Burning Court,John Dickson Carr
Rockbound,Frank Parker Day
The Hollow Hills,Mary Stewart
Confederates,Thomas Keneally
Vasili Tyorkin,Alexander Tvardovsky
Shadows,Charles L. Grant
Miss Julie,August Strindberg
The History of the Standard Oil Company,Ida Tarbell
Letters On England,Voltaire
Voices In The Evening,Natalia Ginzburg
Each Man In His Darkness,Julien Green
"Life's Good, Brother",Nâzim Hikmet
On Overgrown Paths,Knut Hamsun
The Armada,Garrett Mattingly
Moon Palace,Paul Auster
The Bone Collector,Jeffery Deaver
Sandro of Chegem,Fazil Iskander
Peer Gynt,Henrik Ibsen
The Mind of the South,W. J. Cash
Moneyball,Michael M. Lewis
Sessanta Racconti,Dino Buzzati
The Mortal Wound,Raffaele La Capria
Shira,S.Y. Agnon
Granida,P. C. Hooft
Geeraerdt Van Velsen,P. C. Hooft
Warenar,P. C. Hooft
Palamedes,Joost van den Vondel
Kleine Gedigten Voor Kinderen,Hieronymus van Alphen
De Roos Van Dekama,Jacob van Lennep
Cheops,J.H. Leopold
Prometheus,Carry van Bruggen
In A Dark Wood Wandering,Hella S. Haasse
De Kellner En De Levenden,Simon Vestdijk
The Nymph And The Lamp,Thomas H. Raddall
The Three Robbers,Tomi Ungerer
The Oppermanns,Lion Feuchtwanger
Smith’s Dream,C. K. Stead
The Mysterious Portrait,Nikolai Gogol
Edisto,Padgett Powell
Darwin's Radio,Greg Bear
The Case Worker,György Konrád
Heartbreak Tango,Manuel Puig
"Here's to You, Jesusa!",Elena Poniatowska
The Castle of Crossed Destinies,Italo Calvino
Luka,Antun Šoljan
Land,Pak Kyongni
Magician,Raymond E. Feist
Staying Power,Peter Fryer
The Assemblywomen,Aristophanes
The Phoenix And The Mirror,Avram Davidson
"Red, White & Royal Blue",Casey McQuiston
The Spectre Of Alexander Wolf,Gaito Gazdanov
The Tale Of Igor's Campaign,Unknown
Each Day Catches Fire,Imants Ziedonis
Introduction To The Sociology Of Music,Theodor Adorno
The Light Of Day,Eric Ambler
The Robber Hotzenplotz,Otfried Preußler
